country_year_id,country,year,aid_per_capita,aid_total,Income_group,Region,democracy_score,conflict_present,population,multi_sector_aid,program_support_aid,humanitarian_aid,environment_aid,education_social_aid,health_aid,econdev_aid,democracy_rights_aid,peace_security_aid
American Samoa-2016,American Samoa,2016,41.54839214784448,3454452,High income,East Asia & Pacific,8.33,No,52244,0,0,0,0,1211210,416712,0,0,99304
American Samoa-2017,American Samoa,2017,37.441235366657764,3087514,High income,East Asia & Pacific,8.33,No,51586,0,0,0,5639,1355552,119090,0,0,63476
American Samoa-2018,American Samoa,2018,57.019026012882804,4662102,High income,East Asia & Pacific,8.33,No,50908,0,0,0,36084,1504557,683000,0,0,107410
American Samoa-2019,American Samoa,2019,35.074877086663975,2841950,High income,East Asia & Pacific,8.33,No,50209,0,0,16050,32672,1358740,0,0,0,13513
American Samoa-2020,American Samoa,2020,37.475751552220316,3020498,High income,East Asia & Pacific,8.33,No,49761,0,0,131639,59734,1318876,0,0,0,0
American Samoa-2021,American Samoa,2021,22.339418249388427,1787682,High income,East Asia & Pacific,8.33,No,49225,0,52935,48657,0,792249,0,0,0,0
American Samoa-2022,American Samoa,2022,33.635671129346456,2655596,High income,East Asia & Pacific,8.33,No,48341,0,5660,353463,64620,904055,0,0,0,0
American Samoa-2023,American Samoa,2023,28.49744863604667,2221262,High income,East Asia & Pacific,8.33,No,47521,0,0,66100,1955,1042576,0,0,0,0
American Samoa-2024,American Samoa,2024,28.37971320584247,2185554,High income,East Asia & Pacific,,No,46765,0,0,0,16554,1076223,0,0,0,0
Andorra-2000,Andorra,2000,0.0,0,High income,Europe & Central Asia,10.0,No,65685,0,0,0,0,0,0,0,0,0
Andorra-2001,Andorra,2001,0.0,0,High income,Europe & Central Asia,10.0,No,65852,0,0,0,0,0,0,0,0,0
Andorra-2002,Andorra,2002,0.0,0,High income,Europe & Central Asia,10.0,No,66506,0,0,0,0,0,0,0,0,0
Andorra-2003,Andorra,2003,0.0,0,High income,Europe & Central Asia,10.0,No,69485,0,0,0,0,0,0,0,0,0
Andorra-2004,Andorra,2004,0.0,0,High income,Europe & Central Asia,10.0,No,74325,0,0,0,0,0,0,0,0,0
Andorra-2005,Andorra,2005,0.0,0,High income,Europe & Central Asia,10.0,No,77420,0,0,0,0,0,0,0,0,0
Andorra-2006,Andorra,2006,0.0,0,High income,Europe & Central Asia,10.0,No,79585,0,0,0,0,0,0,0,0,0
Andorra-2007,Andorra,2007,0.0,0,High income,Europe & Central Asia,10.0,No,81877,0,0,0,0,0,0,0,0,0
Andorra-2008,Andorra,2008,0.0,0,High income,Europe & Central Asia,10.0,No,83494,0,0,0,0,0,0,0,0,0
Andorra-2009,Andorra,2009,0.0,0,High income,Europe & Central Asia,10.0,No,83888,0,0,0,0,0,0,0,0,0
Andorra-2010,Andorra,2010,0.0,0,High income,Europe & Central Asia,10.0,No,80706,0,0,0,0,0,0,0,0,0
Andorra-2011,Andorra,2011,0.0,0,High income,Europe & Central Asia,10.0,No,77783,0,0,0,0,0,0,0,0,0
Andorra-2012,Andorra,2012,0.0,0,High income,Europe & Central Asia,10.0,No,76834,0,0,0,0,0,0,0,0,0
Andorra-2013,Andorra,2013,0.0,0,High income,Europe & Central Asia,10.0,No,75193,0,0,0,0,0,0,0,0,0
Andorra-2014,Andorra,2014,0.0,0,High income,Europe & Central Asia,10.0,No,73737,0,0,0,0,0,0,0,0,0
Andorra-2015,Andorra,2015,0.0,0,High income,Europe & Central Asia,10.0,No,72173,0,0,0,0,0,0,0,0,0
Andorra-2016,Andorra,2016,0.0,0,High income,Europe & Central Asia,10.0,No,72181,0,0,0,0,0,0,0,0,0
Andorra-2017,Andorra,2017,0.0,0,High income,Europe & Central Asia,10.0,No,73762,0,0,0,0,0,0,0,0,0
Andorra-2018,Andorra,2018,0.0,0,High income,Europe & Central Asia,10.0,No,75162,0,0,0,0,0,0,0,0,0
Andorra-2019,Andorra,2019,0.0,0,High income,Europe & Central Asia,10.0,No,76473,0,0,0,0,0,0,0,0,0
Andorra-2020,Andorra,2020,0.0,0,High income,Europe & Central Asia,10.0,No,77380,0,0,0,0,0,0,0,0,0
Andorra-2021,Andorra,2021,0.0,0,High income,Europe & Central Asia,10.0,No,78363,0,0,0,0,0,0,0,0,0
Andorra-2022,Andorra,2022,0.0,0,High income,Europe & Central Asia,10.0,No,79705,0,0,0,0,0,0,0,0,0
Andorra-2023,Andorra,2023,0.0,0,High income,Europe & Central Asia,10.0,No,80856,0,0,0,0,0,0,0,0,0
Andorra-2024,Andorra,2024,0.0,0,High income,Europe & Central Asia,,No,81937,0,0,0,0,0,0,0,0,0
Angola-2000,Angola,2000,0.0,0,Lower middle income,Sub-Saharan Africa,1.67,Yes,16194868,0,0,0,0,0,0,0,0,0
Angola-2001,Angola,2001,6.312012504532845,105708580,Lower middle income,Sub-Saharan Africa,2.5,Yes,16747207,619377,4577404,51189905,0,12420193,3078611,622280,884227,32316583
Angola-2002,Angola,2002,10.353022406494942,179394056,Lower middle income,Sub-Saharan Africa,2.5,Yes,17327699,0,3323071,135605959,0,12720768,7818106,903489,2146980,16875683
Angola-2003,Angola,2003,13.177371772351227,236450964,Lower middle income,Sub-Saharan Africa,2.5,Yes,17943712,0,3193442,194549484,0,3563313,12966392,4984689,5219766,11973878
Angola-2004,Angola,2004,10.742672142456115,199818246,Lower middle income,Sub-Saharan Africa,2.5,Yes,18600423,0,2841175,138845329,0,1822658,15548366,17523749,9644636,13592333
Angola-2005,Angola,2005,6.55893486965014,126529462,Lower middle income,Sub-Saharan Africa,2.5,No,19291160,0,2969300,55427807,0,3951471,21499102,26108093,5140545,11433144
Angola-2006,Angola,2006,4.482163651078759,89711756,Lower middle income,Sub-Saharan Africa,2.5,No,20015279,106974,1975012,37993587,36311,1758392,19943515,11737331,6324245,9836389
Angola-2007,Angola,2007,2.95241349966439,61346904,Lower middle income,Sub-Saharan Africa,2.5,Yes,20778561,6753,1541333,8106300,0,11684248,20283094,983500,9987422,8754254
Angola-2008,Angola,2008,3.57403716774748,77122915,Lower middle income,Sub-Saharan Africa,2.5,No,21578655,0,4684724,1555436,0,3818760,43351610,1220449,13935462,8556474
Angola-2009,Angola,2009,2.986048397634899,66931597,Lower middle income,Sub-Saharan Africa,2.5,Yes,22414773,0,5185567,1016600,36699,698715,39943771,3719086,9889815,6441344
Angola-2010,Angola,2010,3.5759854388260055,83301955,Lower middle income,Sub-Saharan Africa,2.5,No,23294825,0,6653363,-466988,76645,259984,58971720,4926035,6138486,6742710
Angola-2011,Angola,2011,3.749457632354903,90805681,Lower middle income,Sub-Saharan Africa,2.5,No,24218351,0,9651675,143661,63717,400354,48925176,4689183,12043977,14887938
Angola-2012,Angola,2012,4.213589778195471,106087210,Lower middle income,Sub-Saharan Africa,2.5,No,25177394,0,11154148,29838,0,1786318,69958706,5664202,5366347,12127651
Angola-2013,Angola,2013,3.7672641045769217,98572801,Lower middle income,Sub-Saharan Africa,2.5,No,26165620,0,10678454,1444291,0,1403260,76364146,2061081,1747398,4874171
Angola-2014,Angola,2014,3.2382868467383967,87954361,Lower middle income,Sub-Saharan Africa,1.67,No,27160769,0,8945501,5365231,245376,916802,62860186,1210680,1333792,7076793
Angola-2015,Angola,2015,2.764495220826572,77842098,Lower middle income,Sub-Saharan Africa,1.67,No,28157798,0,11897268,3529049,84022,1809156,55379198,1356702,449682,3337021
Angola-2016,Angola,2016,2.941437381331025,85840173,Lower middle income,Sub-Saharan Africa,1.67,Yes,29183070,0,9675221,2177110,396398,551658,61351329,725318,543177,10419962
Angola-2017,Angola,2017,2.300475554045451,69554508,Lower middle income,Sub-Saharan Africa,2.5,Yes,30234839,0,10039809,1606641,663005,231388,47392578,-841245,703884,9758448
Angola-2018,Angola,2018,1.9896695402505435,62270996,Lower middle income,Sub-Saharan Africa,2.5,No,31297155,0,7505108,4111179,250387,0,44428833,18388,204475,5752626
Angola-2019,Angola,2019,1.987568891319249,64348799,Lower middle income,Sub-Saharan Africa,2.5,Yes,32375632,35176,7502764,4493927,0,0,51268515,71929,527688,448800
Angola-2020,Angola,2020,1.2264709905781366,41026843,Lower middle income,Sub-Saharan Africa,2.5,Yes,33451132,0,5313231,2800228,0,0,28072945,59719,632870,4147850
Angola-2021,Angola,2021,1.4909431942942675,51485890,Lower middle income,Sub-Saharan Africa,2.5,No,34532429,44755,6110739,2642063,0,0,35734896,782278,396452,5774707
Angola-2022,Angola,2022,2.1146929331810003,75357144,Lower middle income,Sub-Saharan Africa,2.5,Yes,35635029,0,7521488,1572636,0,0,54818610,3305692,1412314,6726404
Angola-2023,Angola,2023,1.94070975310794,71320901,Lower middle income,Sub-Saharan Africa,2.5,No,36749906,0,8515594,7969589,16806,0,44491657,1578626,651919,8096710
Angola-2024,Angola,2024,2.0467536572824327,77543000,Lower middle income,Sub-Saharan Africa,,No,37885849,0,19441104,3075327,0,10714,44565394,3556753,516151,6377557
Anguilla-2000,Anguilla,2000,0.0,0,High Income,Latin America & Caribbean,,No,11176,0,0,0,0,0,0,0,0,0
Anguilla-2001,Anguilla,2001,0.0,0,High Income,Latin America & Caribbean,,No,11471,0,0,0,0,0,0,0,0,0
Anguilla-2002,Anguilla,2002,0.0,0,High Income,Latin America & Caribbean,,No,11686,0,0,0,0,0,0,0,0,0
Anguilla-2003,Anguilla,2003,0.0,0,High Income,Latin America & Caribbean,,No,11874,0,0,0,0,0,0,0,0,0
Anguilla-2004,Anguilla,2004,0.0,0,High Income,Latin America & Caribbean,,No,12067,0,0,0,0,0,0,0,0,0
Anguilla-2005,Anguilla,2005,0.0,0,High Income,Latin America & Caribbean,,No,12266,0,0,0,0,0,0,0,0,0
Anguilla-2006,Anguilla,2006,0.0,0,High Income,Latin America & Caribbean,,No,12469,0,0,0,0,0,0,0,0,0
Anguilla-2007,Anguilla,2007,0.0,0,High Income,Latin America & Caribbean,,No,12676,0,0,0,0,0,0,0,0,0
Anguilla-2008,Anguilla,2008,0.0,0,High Income,Latin America & Caribbean,,No,12889,0,0,0,0,0,0,0,0,0
Anguilla-2009,Anguilla,2009,0.0,0,High Income,Latin America & Caribbean,,No,13113,0,0,0,0,0,0,0,0,0
Anguilla-2010,Anguilla,2010,0.007194244604316547,96,High Income,Latin America & Caribbean,,No,13344,0,0,0,0,0,0,0,0,96
Anguilla-2011,Anguilla,2011,0.0,0,High Income,Latin America & Caribbean,,No,13569,0,0,0,0,0,0,0,0,0
Anguilla-2012,Anguilla,2012,0.0,0,High Income,Latin America & Caribbean,,No,13379,0,0,0,0,0,0,0,0,0
Anguilla-2013,Anguilla,2013,1.9427256263205555,25745,High Income,Latin America & Caribbean,,No,13252,0,0,0,0,0,0,25745,0,0
Anguilla-2014,Anguilla,2014,0.0,0,High Income,Latin America & Caribbean,,No,13728,0,0,0,0,0,0,0,0,0
Anguilla-2015,Anguilla,2015,0.0,0,High Income,Latin America & Caribbean,,No,14209,0,0,0,0,0,0,0,0,0
Anguilla-2016,Anguilla,2016,0.0,0,High Income,Latin America & Caribbean,,No,14320,0,0,0,0,0,0,0,0,0
Anguilla-2017,Anguilla,2017,0.0,0,High Income,Latin America & Caribbean,,No,14425,0,0,0,0,0,0,0,0,0
Anguilla-2018,Anguilla,2018,0.10705794443312275,1576,High Income,Latin America & Caribbean,,No,14721,0,0,1576,0,0,0,0,0,0
Anguilla-2019,Anguilla,2019,0.0,0,High Income,Latin America & Caribbean,,No,14823,0,0,0,0,0,0,0,0,0
Anguilla-2020,Anguilla,2020,-2.4825170113858386,-36848,High Income,Latin America & Caribbean,,No,14843,0,0,0,-36848,0,0,0,0,0
Anguilla-2021,Anguilla,2021,-10.892220533370182,-157654,High Income,Latin America & Caribbean,,No,14474,0,0,0,-157654,0,0,0,0,0
Anguilla-2022,Anguilla,2022,-0.8820791311093871,-12507,High Income,Latin America & Caribbean,,No,14179,0,0,0,-12507,0,0,0,0,0
Anguilla-2023,Anguilla,2023,0.0,0,High Income,Latin America & Caribbean,,No,14410,0,0,0,0,0,0,0,0,0
Anguilla-2024,Anguilla,2024,0.0,0,High Income,Latin America & Caribbean,,No,14598,0,0,0,0,0,0,0,0,0
Antigua and Barbuda-2000,Antigua and Barbuda,2000,0.0,0,High income,Latin America & Caribbean,6.67,No,74912,0,0,0,0,0,0,0,0,0
Antigua and Barbuda-2001,Antigua and Barbuda,2001,17.17578777162839,1306545,High income,Latin America & Caribbean,6.67,No,76069,0,0,65656,0,0,0,0,0,1240889
Antigua and Barbuda-2002,Antigua and Barbuda,2002,76.52714456329836,5895039,High income,Latin America & Caribbean,6.67,No,77032,0,0,40397,0,0,0,0,0,5854642
